AI01,fuel_quantity,factory,output_value,a1_x,a5,state,costop,expshare,emissions_proxy,carbon_intensity,vulnerability,exporter
139114,156712.96,139114,22607220000.0,139114,24101,29,9184300000.0,0,379245.36319999996,1.6775409059583618e-05,4.1292789129274957e-05,0
139121,25585.99,139121,2075748980.0,139121,24102,29,1251326057.0,0,61918.0958,2.982927916457413e-05,4.948198389510561e-05,0
139122,70595.34,139122,3125326556.0,139122,24102,29,1308295759.0,0,170840.7228,5.46633190928545e-05,0.00013058264664144646,0
139123,173085.92,139123,8624444376.0,139123,24102,29,4066700339.0,0,418867.9264,4.856752599223906e-05,0.00010299945692654587,0
139131,719282.84,139131,38932674206.0,139131,24102,29,13543084380.0,0,1740664.4727999999,4.470960467780408e-05,0.0001285279205208644,0
139133,97807.92,139133,4080668252.0,139133,24103,29,1985979948.0,0,236695.1664,5.800402085712112e-05,0.00011918305954617825,0
139135,65381.02,139135,3144133490.0,139135,24102,29,1521963241.0,0,158222.0684,5.0322948724419457e-05,0.00010395919174502585,0
139136,140719.91,139136,13346430582.0,139136,24102,29,5946505850.0,0,340542.1822,2.551559985328817e-05,5.726761072638985e-05,0
139140,167194.98,139140,8825172662.0,139140,24102,29,4701317442.0,0,404611.8516,4.5847471442933225e-05,8.606350381391667e-05,0
139144,161322.98,139144,24197567066.0,139144,24101,29,9577673041.0,0,390401.6116,1.6133920014981725e-05,4.07616348907269e-05,0
139147,109490.06,139147,9685076364.0,139147,24109,29,4749166876.0,0,264965.94519999996,2.7358167890641935e-05,5.579208987980821e-05,0
148952,170657.1,148952,21282331150.0,148952,23941,33,8379594213.0,0,412990.18200000003,1.9405307580697052e-05,4.928522449921168e-05,0
148960,271735.75,148960,21878834944.0,148960,23942,33,9021770754.0,0,657600.515,3.0056468577196282e-05,7.28904039939652e-05,0
148962,12818.0,148962,20982819632.0,148962,23942,33,5128882113.0,0,31019.559999999998,1.4783313465028025e-06,6.048015789127965e-06,0
148966,209030.16,148966,22077217226.0,148966,23941,33,6791939729.0,0,505852.9872,2.2912896223363907e-05,7.447842698605312e-05,0
148968,12753.84,148968,11202490216.0,148968,23942,33,4386669277.0,0,30864.2928,2.7551278514769825e-06,7.035928822313176e-06,0
148969,4615.0,148969,15545192880.0,148969,23942,33,4159162902.0,0,11168.3,7.184407479670975e-07,2.6852278362623264e-06,0
149110,934426.35,149110,91445757522.0,149110,24101,33,31184167220.0,0,2261311.767,2.472844917333616e-05,7.25147396448575e-05,0
149153,361069.03,149153,14731408000.0,149153,24105,33,8859272000.0,0,873787.0526,5.93145646770492e-05,9.862966760699977e-05,0
153696,3943.0,153696,13809361544.0,153696,23942,36,5553759340.0,0,9542.06,6.909848778740904e-07,1.7181263025343838e-06,0
207304,54112.78,207304,2504968192.0,207304,24102,19,1081653908.0,0,130952.9276,5.227728161108722e-05,0.00012106730871257574,0
208180,3512.0,208180,3931651872.0,208180,24103,21,1890708598.0,0,8499.039999999999,2.161696985566681e-06,4.495161236898336e-06,0
215447,69158.96,215447,14724745830.0,215447,23941,28,5456215426.0,0,167364.6832,1.1366218821856567e-05,3.067413401649658e-05,0
